mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3149707317352295,0.016970226676488367,0.009710550308227539,0.0017403933217815157,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6844262295081968,0.6090534979423868,0.7530864197530864,0.6821887157345566,0.058822475819180986,8
0.6986424128214518,0.08182589771643811,0.01628247896830241,0.0010578950426477754,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6598360655737705,0.6090534979423868,0.7654320987654321,0.6781072207605298,0.06513546413814475,12
0.1643052895863851,0.020105493716777625,0.004875898361206055,6.43326786013942e-05,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.7049180327868853,0.6049382716049383,0.7530864197530864,0.68764757471497,0.06170180975974557,3
0.31416940689086914,0.03267927809890384,0.009160041809082031,0.0010110805636147433,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6762295081967213,0.6213991769547325,0.7818930041152263,0.6931738964222266,0.06660781414823191,2
0.6281609535217285,0.026393110945366817,0.01668270428975423,0.0008122559851254034,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6557377049180327,0.6296296296296297,0.757201646090535,0.6808563268793991,0.05502644045004731,9
0.1624760627746582,0.004142955572178446,0.006470044453938802,0.0017726898596680857,10,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.6721311475409836,0.6172839506172839,0.8024691358024691,0.6972947446535788,0.07766720958788034,1
0.3050549825032552,0.01533610374704023,0.008786916732788086,0.00041993862143427076,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6639344262295082,0.6255144032921811,0.7654320987654321,0.6849603094290404,0.05902432379890304,4
0.6160665353139242,0.05171035789741505,0.020886023839314777,0.0018794697777069034,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.639344262295082,0.6213991769547325,0.7777777777777778,0.6795070723425307,0.06987300471581245,10
0.15046405792236328,0.013974421149971194,0.005144198735555013,0.00026438132448879754,10,2,5,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6762295081967213,0.6213991769547325,0.7283950617283951,0.6753412489599496,0.04368540254271446,21
0.2970156669616699,0.014120333390310004,0.009546756744384766,0.0008099255879475901,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6721311475409836,0.6378600823045267,0.7160493827160493,0.6753468708538533,0.032001534671840685,20
0.6466004053751627,0.04959054209373435,0.017985741297403973,0.001508389647306937,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6680327868852459,0.6337448559670782,0.7283950617283951,0.6767242348602398,0.03912647282502751,15
0.14615503946940103,0.0055590117860557205,0.005562225977579753,0.0003885976286896117,10,4,2,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6844262295081968,0.5843621399176955,0.7325102880658436,0.6670995524972453,0.06170968995823799,35
0.31996456782023114,0.03126568336220775,0.012744983037312826,0.004265912590199969,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6680327868852459,0.6131687242798354,0.7407407407407407,0.6739807506352739,0.05225060478472385,23
0.638937791188558,0.061176364127204994,0.016623973846435547,0.000499711388351893,10,4,2,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6434426229508197,0.6090534979423868,0.7654320987654321,0.6726427398862128,0.06709720222991819,25
0.15394512812296549,0.01420616044938466,0.005309263865152995,0.00023708897294580445,10,4,5,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6844262295081968,0.5843621399176955,0.7325102880658436,0.6670995524972453,0.06170968995823799,35
0.29281242688496906,0.0017856618920250728,0.008754491806030273,0.00020333242590025278,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6680327868852459,0.6131687242798354,0.7407407407407407,0.6739807506352739,0.05225060478472385,23
0.5800406138102213,0.02102294606314686,0.01629797617594401,0.0006665785053270146,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6434426229508197,0.6090534979423868,0.7654320987654321,0.6726427398862128,0.06709720222991819,25
0.17206764221191406,0.016469884157900853,0.005494038263956706,0.0004362386959628195,15,1,2,50,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.6639344262295082,0.6255144032921811,0.720164609053498,0.669871146191729,0.038868143301829076,31
0.31440091133117676,0.007075808347971963,0.009497563044230143,0.00046500667007516654,15,1,2,100,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.639344262295082,0.6172839506172839,0.7160493827160493,0.6575591985428052,0.042328009412959826,49
0.6198447545369467,0.011158939699345527,0.019703070322672527,0.0011782667781474342,15,1,2,200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6516393442622951,0.6378600823045267,0.7613168724279835,0.6836054329982684,0.055237474469807216,5
0.15620573361714682,0.007444455124429853,0.0058383941650390625,0.00031625862798912075,15,1,5,50,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6967213114754098,0.5967078189300411,0.7407407407407407,0.6780566237153973,0.06026413288303334,14
0.3610333601633708,0.06370098266922662,0.009531974792480469,0.0011222908785953386,15,1,5,100,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6844262295081968,0.6090534979423868,0.7448559670781894,0.679445231509591,0.05555289018369032,11
0.6480709711710612,0.03789211700888382,0.017567952473958332,0.0002979568619487664,15,1,5,200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6762295081967213,0.6213991769547325,0.7489711934156379,0.6821999595223639,0.05225188712859585,6
0.15625858306884766,0.0066011694923836075,0.005425850550333659,0.0005255080215499114,15,2,2,50,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.6639344262295082,0.6296296296296297,0.7325102880658436,0.6753581146416604,0.04277057370646855,18
0.3576968510945638,0.055524197569630826,0.011484781901041666,0.0028057681957952725,15,2,2,100,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6311475409836066,0.6213991769547325,0.7489711934156379,0.6671726371179924,0.05797706736054743,33
0.6698597272237142,0.08187741865188901,0.016334931055704754,0.0004225789945717819,15,2,2,200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6311475409836066,0.6049382716049383,0.7613168724279835,0.6658008950055095,0.06838229745369694,37
0.16538127263387045,0.009451243852621966,0.005702416102091472,0.0008022188311185816,15,2,5,50,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.680327868852459,0.6090534979423868,0.7283950617283951,0.6725921428410803,0.049027089820593464,27
0.319008747736613,0.024571168130961038,0.008633693059285482,0.00014481075988829047,15,2,5,100,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.680327868852459,0.6255144032921811,0.7407407407407407,0.6821943376284603,0.04705946585418052,7
0.6227825482686361,0.022866797640436583,0.014908472696940104,0.0032611880883452416,15,2,5,200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6598360655737705,0.6213991769547325,0.7530864197530864,0.6781072207605298,0.055291704096558876,12
0.17941037813822427,0.023066005802384493,0.006997505823771159,0.002023186743817025,15,4,2,50,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6639344262295082,0.5967078189300411,0.7325102880658436,0.6643841777417977,0.05544203798059287,39
0.3111603260040283,0.008841932988693308,0.008806705474853516,0.00013802397285924252,15,4,2,100,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6639344262295082,0.6131687242798354,0.7366255144032922,0.6712428883042119,0.05066527390840036,28
0.541674534479777,0.013254879728437419,0.011482318242390951,0.0020213535682719226,15,4,2,200,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6475409836065574,0.6131687242798354,0.7654320987654321,0.6753806022172749,0.06520387041542816,16
0.17146666844685873,0.03874816059198715,0.005143483479817708,0.00016948294932271957,15,4,5,50,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6639344262295082,0.5967078189300411,0.7325102880658436,0.6643841777417977,0.05544203798059287,39
0.26801498730977374,0.010747353378979047,0.007212320963541667,0.0013238737198467767,15,4,5,100,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6639344262295082,0.6131687242798354,0.7366255144032922,0.6712428883042119,0.05066527390840036,28
0.4513266086578369,0.021237729152407143,0.010472377141316732,0.001159248329281236,15,4,5,200,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6475409836065574,0.6131687242798354,0.7654320987654321,0.6753806022172749,0.06520387041542816,16
