mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.15053757031758627,0.018688398142275624,0.005431413650512695,0.0007377487097180054,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.6352459016393442,0.6172839506172839,0.7366255144032922,0.6630517888866402,0.05253873324148237,41
0.2980343500773112,0.013902375069371403,0.011403083801269531,0.0044035567075920296,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6516393442622951,0.6213991769547325,0.7366255144032922,0.6698880118734398,0.048778667554843225,30
0.5444509188334147,0.04305657242031796,0.015582879384358725,0.0006669148074853309,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6434426229508197,0.6172839506172839,0.7448559670781894,0.6685275135487644,0.05501874618835851,32
0.12994488080342612,0.00339400953603136,0.00520626703898112,0.00021386614635726444,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6475409836065574,0.6172839506172839,0.7078189300411523,0.6575479547549978,0.03763199196157755,50
0.31004055341084796,0.00993771741698073,0.008728504180908203,0.0003254338206534482,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6598360655737705,0.6172839506172839,0.720164609053498,0.665761541748184,0.04220932693917617,38
0.5037567615509033,0.004776482435156101,0.015421867370605469,0.0004524062744168839,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6557377049180327,0.6131687242798354,0.7325102880658436,0.6671389057545706,0.049383484061703405,34
0.14089226722717285,0.013711235539886839,0.004823764165242513,0.0003390174893643627,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.6434426229508197,0.6131687242798354,0.7119341563786008,0.6561818345364187,0.04131479378528515,51
0.25270986557006836,0.01295049654419723,0.008659919102986654,0.0006145581103720941,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6598360655737705,0.6049382716049383,0.7037037037037037,0.6561593469608041,0.04040454874749592,52
0.5885967413584391,0.04172833837757087,0.017171382904052734,0.0013326449648947034,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6598360655737705,0.6131687242798354,0.7489711934156379,0.6739919944230812,0.05633749726446387,22
0.13704633712768555,0.010494217688227392,0.004831155141194661,0.0001395037794082398,5,2,5,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6598360655737705,0.6090534979423868,0.7119341563786008,0.6602745732982528,0.04200199746706938,46
0.2550664742787679,0.003248312867389789,0.008362690607706705,0.00025923583928786986,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6598360655737705,0.6090534979423868,0.720164609053498,0.6630180575232184,0.0454166897198316,42
0.5278965632120768,0.0240612209767145,0.016219218571980793,0.001296207540818575,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6639344262295082,0.6131687242798354,0.7489711934156379,0.6753581146416604,0.0560265005662416,18
0.14139779408772787,0.010638488225417967,0.004831711451212565,8.957631356237426e-05,5,4,2,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6270491803278688,0.6172839506172839,0.720164609053498,0.6548325799995501,0.046368419159700545,53
0.26741798718770343,0.009320923018911473,0.011329968770345053,0.004574413664679744,5,4,2,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6557377049180327,0.6255144032921811,0.6995884773662552,0.6602801951921564,0.030410719337110217,44
0.5076647599538168,0.012502975618862355,0.014466603597005209,6.160689745145779e-05,5,4,2,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6352459016393442,0.6131687242798354,0.7242798353909465,0.6575648204367087,0.048027911019176715,47
0.16823752721150717,0.015146381233764753,0.005379199981689453,0.0004833853052970285,5,4,5,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6270491803278688,0.6172839506172839,0.720164609053498,0.6548325799995501,0.046368419159700545,53
0.280655304590861,0.03686879853575953,0.009275515874226889,0.0011534185612247915,5,4,5,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6557377049180327,0.6255144032921811,0.6995884773662552,0.6602801951921564,0.030410719337110217,44
0.5422131220499674,0.012087065189501875,0.015225728352864584,0.0010134526708465606,5,4,5,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6352459016393442,0.6131687242798354,0.7242798353909465,0.6575648204367087,0.048027911019176715,47
0.15620843569437662,0.00748809260823631,0.005723714828491211,0.00016277977926347322,10,1,2,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.6557377049180327,0.6090534979423868,0.720164609053498,0.6616519373046392,0.04555329012360879,43
