Date,Open,High,Low,Close,Adj Close,Volume,RSI_7,MACD_Line,MACD_Signal,MACD_Hist,Is_Higher_Than_Previous_Close
2015-11-06,0.76125,0.7985,0.7455,0.78875,0.767003,1172272000,79.37693360254742,0.026795269843839065,0.026231132213237467,0.000564137630601598,1
2015-11-09,0.781,0.7875,0.77425,0.78525,0.763599,492568000,77.31186702679793,0.030513397063923198,0.027087585183374615,0.003425811880548583,0
2015-11-10,0.775,0.77925,0.75375,0.77025,0.749013,552260000,68.41275227928351,0.03188214748348861,0.028046497643397415,0.0038356498400911945,0
2015-11-11,0.77075,0.77625,0.76,0.76275,0.74172,619896000,64.10817180377285,0.03199291037649876,0.028835780190017687,0.0031571301864810747,0
2015-11-12,0.761,0.768,0.75675,0.76,0.739046,291080000,62.42785789590642,0.03149572563026448,0.029367769278067047,0.0021279563521974347,0
2015-11-13,0.76075,0.764,0.74125,0.745,0.724459,292940000,53.50371839701301,0.029550686576886975,0.029404352737831034,0.00014633383905594127,0
2015-11-16,0.75475,0.7605,0.74875,0.76,0.739046,344280000,60.14979400451482,0.02888661681624216,0.029300805553513262,-0.00041418873727110117,1
2015-11-17,0.762,0.7665,0.75675,0.76,0.739046,257048000,60.14979400451482,0.028037142025808204,0.029048072847972253,-0.0010109308221640488,0
2015-11-18,0.76025,0.77675,0.752,0.77575,0.757226,350216000,66.90957050620942,0.028308497765202723,0.028900157831418347,-0.0005916600662156241,1
2015-11-19,0.7785,0.78575,0.77225,0.778,0.759422,254072000,67.8193687107792,0.0283779816320765,0.02879572259154998,-0.0004177409594734796,1
2015-11-20,0.78375,0.78925,0.779,0.78475,0.766011,239744000,70.64427191950587,0.028647486295500846,0.028766075332340154,-0.00011858903683930819,1
2015-11-23,0.79125,0.79125,0.77025,0.773,0.754542,242552000,59.95568558806045,0.027594847655215027,0.028531829796915133,-0.0009369821417001059,0
2015-11-24,0.773,0.786,0.7695,0.77925,0.760642,195428000,63.392834578606625,0.026954235072025767,0.02821631085193726,-0.0012620757799114944,1
2015-11-25,0.77775,0.787,0.7755,0.77825,0.759666,138300000,62.393154107181786,0.026065387776683324,0.027786126236886477,-0.0017207384602031528,0
2015-11-27,0.77975,0.78725,0.77575,0.78475,0.766011,86996000,66.41004970578145,0.025590474507948602,0.027346995891098902,-0.0017565213831503002,1
2015-11-30,0.7855,0.7965,0.78475,0.793,0.774064,327244000,70.99727271799973,0.02558488178164131,0.026994573069207384,-0.0014096912875660728,1
2015-12-01,0.8,0.8195,0.79925,0.81875,0.799199,409496000,80.62986554480138,0.0273430654657979,0.02706427154852549,0.0002787939172724102,1
2015-12-02,0.82,0.8285,0.81075,0.8125,0.793098,294240000,73.6985906916141,0.02791038242101107,0.027233493723022608,0.0006768886979884627,0
2015-12-03,0.819,0.8275,0.80675,0.81075,0.79139,246656000,71.68554515788637,0.027897193341237858,0.02736623364666566,0.0005309596945721994,0
2015-12-04,0.81075,0.84525,0.81075,0.84375,0.823602,458756000,82.31364207253456,0.030201421915874382,0.027933271300507406,0.002268150615366976,1
2015-12-07,0.8435,0.8435,0.82525,0.82775,0.807984,333588000,67.89736681376584,0.030386200179012834,0.028423857076208495,0.0019623431028043398,0
2015-12-08,0.8175,0.8425,0.81225,0.839,0.818965,314488000,71.93011586215181,0.03108212388740883,0.028955510438448566,0.0021266134489602642,1
2015-12-09,0.83875,0.84375,0.80925,0.81775,0.798223,372676000,56.334903380136396,0.029577994326893786,0.029080007216137613,0.0004979871107561734,0
2015-12-10,0.82025,0.829,0.8175,0.8245,0.804812,236596000,59.58235832132488,0.028600935619061296,0.02898419289672235,-0.0003832572776610553,1
2015-12-11,0.81625,0.822,0.8105,0.81225,0.792854,227320000,51.47653521919948,0.02653228921698103,0.02849381216077409,-0.001961522943793058,0
2015-12-14,0.813,0.81875,0.8045,0.81425,0.794806,275892000,52.70217073858145,0.02476873674564195,0.027748797077747665,-0.002980060332105714,1
2015-12-15,0.8235,0.83,0.819,0.82425,0.804568,307296000,58.77616917618196,0.02390249208296158,0.026979536078790452,-0.0030770439958288723,1
