,,accuracy
0.1,l2,0.7622950819672131
0.1,l1,0.7213114754098361
1.0,l2,0.8934426229508197
1.0,l1,0.7622950819672131
10.0,l2,0.9877049180327869
10.0,l1,0.8319672131147541
